都道府県名,西暦（年）,人口（総数）
愛知県,1975.0,5923569
三重県,1975.0,1626002
滋賀県,1975.0,985621
京都府,1975.0,2424856
大阪府,1975.0,8278925
兵庫県,1975.0,4992140
奈良県,1975.0,1077491
和歌山県,1975.0,1072118
鳥取県,1975.0,581311
島根県,1975.0,768886
岡山県,1975.0,1814305
広島県,1975.0,2646324
山口県,1975.0,1555218
徳島県,1975.0,805166
香川県,1975.0,961292
愛媛県,1975.0,1465215
高知県,1975.0,808397
福岡県,1975.0,4292963
佐賀県,1975.0,837674
長崎県,1975.0,1571912
熊本県,1975.0,1715273
大分県,1975.0,1190314
宮崎県,1975.0,1085055
鹿児島県,1975.0,1723902
沖縄県,1975.0,1042572
北海道,1980.0,5575989
青森県,1980.0,1523907
岩手県,1980.0,1421927
宮城県,1980.0,2082320
秋田県,1980.0,1256745
山形県,1980.0,1251917
福島県,1980.0,2035272
茨城県,1980.0,2558007
栃木県,1980.0,1792201
群馬県,1980.0,1848562
埼玉県,1980.0,5420480
千葉県,1980.0,4735424
東京都,1980.0,11618281
神奈川県,1980.0,6924348
新潟県,1980.0,2451357
富山県,1980.0,1103459
石川県,1980.0,1119304
福井県,1980.0,794354
山梨県,1980.0,804256
長野県,1980.0,2083934
岐阜県,1980.0,1960107
静岡県,1980.0,3446804
愛知県,1980.0,6221638
三重県,1980.0,1686936
滋賀県,1980.0,1079898
京都府,1980.0,2527330
大阪府,1980.0,8473446
兵庫県,1980.0,5144892
奈良県,1980.0,1209365
和歌山県,1980.0,1087012
鳥取県,1980.0,604221
島根県,1980.0,784795
岡山県,1980.0,1871023
広島県,1980.0,2739161
山口県,1980.0,1587079
徳島県,1980.0,825261
香川県,1980.0,999864
愛媛県,1980.0,1506637
高知県,1980.0,831275
福岡県,1980.0,4553461
佐賀県,1980.0,865574
長崎県,1980.0,1590564
熊本県,1980.0,1790327
大分県,1980.0,1228913
宮崎県,1980.0,1151587
鹿児島県,1980.0,1784623
沖縄県,1980.0,1106559
北海道,1985.0,5679439
青森県,1985.0,1524448
